"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mouser Link"
"C1,C4,C6,C7,C8,C10,C12","7","0.1uF","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","https://www.vishay.com/docs/45164/aseries.pdf","https://www.mouser.com/ProductDetail/Vishay-BC-Components/A104K15X7RF5TAA?qs=sGAEpiMZZMvsSlwiRhF8qtORe2c7bB%2FSq4DtZdJecCA%3D"
"C2,C3","2","4.7uF","","","","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","https://product.tdk.com/system/files/dam/doc/product/capacitor/aluminum-electrolytic/single-ended/data_sheet/20/30/db/aec/b43890.pdf","https://www.mouser.com/ProductDetail/Murata-Electronics/RCEC72A475MWM1H03A?qs=Zt%252BKPUOg4ofNw9Kx91ytUA%3D%3D"
"C5,C11","2","10uF","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1218.pdf","https://www.mouser.com/ProductDetail/Panasonic/ECA-1CM100?qs=rMPmletcY1jVNQRSe8wPzw%3D%3D"
"C9","1","10uF","","","","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","https://www.cde.com/resources/catalogs/TTA.pdf","https://www.mouser.com/ProductDetail/CDE-Illinois-Capacitor/106TTA035M?qs=sGAEpiMZZMvwFf0viD3Y3TMnxRwPJuf7QHJcH8h7gWqy6eExlWZZPg%3D%3D"
"D1","1","LED-BLUE","","","","LED_THT:LED_D5.0mm_Clear","https://www.mouser.com/datasheet/2/723/HB_C503B_BAS_BAN_GAS_GAN-3011976.pdf","https://www.mouser.com/ProductDetail/Cree-LED/C503B-BAS-CX0B0461?qs=W988lRlZNbIzBOQV7j3WFw%3D%3D"
"D2,D5","2","LED-YELLOW","","","","LED_THT:LED_D5.0mm_Clear","https://www.mouser.com/datasheet/2/678/AV02_1557EN_2021_08_09-3007319.pdf,https://www.mouser.com/datasheet/2/723/HB_C503B_BAS_BAN_GAS_GAN-3011976.pdf","https://www.mouser.com/ProductDetail/630-HLMP-4719-A00B2"
"D3,D6","2","LED-RED","","","","LED_THT:LED_D5.0mm_Clear","https://www.mouser.com/datasheet/2/678/AV02_0373EN_DS_HLMP_ELxx_2024_10_30-1827869.pdf","https://www.mouser.com/ProductDetail/Broadcom-Avago/HLMP-EG08-Z2000?qs=lQqkXH5tj5QfIO2PI1Ayrw%3D%3D"
"D4","1","LED-GREEN","","","","LED_THT:LED_D5.0mm_Clear","https://www.mouser.com/datasheet/2/244/SSL-LX5093GT-1778091.pdf","https://www.mouser.com/ProductDetail/Lumex/SSL-LX5093GT?qs=sGAEpiMZZMvVL5Kk7ZYykVwAM0Y%252B7BnPlWP0yrMHMYQ%3D"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~",""
"J1,J18,J19","3","I2C_DEBUG","","","","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","~",""
"J2","1","VL53L1X","","","","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","~",""
"J3,J4,J7,J10,J11,J16","6","LED_ENABLE","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~",""
"J5","1","PWR","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~",""
"J6","1","BATT","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~",""
"J8,J9","2","R_ENABLE","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~",""
"J12","1","ESP32_DEBUG","","","","Connector_PinHeader_1.27mm:PinHeader_1x09_P1.27mm_Vertical","~",""
"J13,J14","2","Fuel Gauge","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical","~",""
"J15","1","AVR-ISP-6","","","","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~",""
"J17","1","PWR_EXT","","","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~",""
"Q1,Q2,Q5,Q6,Q7,Q8","6","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://my.centralsemi.com/datasheets/2N3903.PDF","https://www.mouser.com/ProductDetail/Central-Semiconductor/2N3904-PBFREE?qs=u16ybLDytRZopNVvg2vJjA%3D%3D"
"Q3,Q4","2","IRF9540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf",""
"R1,R2,R3,R18,R20","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","https://www.mouser.com/ProductDetail/603-MFR-25FBF52-10K"
"R4","1","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_CFR_datasheet_2023v2-3388672.pdf","https://www.mouser.com/ProductDetail/YAGEO/CFR-25JB-52-4K7?qs=sGAEpiMZZMsPqMdJzcrNwoGf4yg8yZ12M2MUscOv3avxa2D7ect%252Bag%3D%3D"
"R5","1","2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","https://www.mouser.com/ProductDetail/603-MFR-25FTF52-2K"
"R6,R16,R17,R19","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_CFR_datasheet_2023v2-3388672.pdf,https://www.mouser.com/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","https://www.mouser.com/ProductDetail/603-CFR-25JB-1K0"
"R7,R8,R9","3","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","https://www.mouser.com/ProductDetail/YAGEO/MFR50SFTE52-2K2?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWLIxkr3nGS7eE%3D"
"R10,R11","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_HHV_datasheet_2024v3-3450127.pdf","https://www.mouser.com/ProductDetail/YAGEO/HHV2SSJT-52-100K?qs=xZ%2FP%252Ba9zWqY9%2FfcFDXR4iQ%3D%3D"
"R12,R13","2","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/Yageo_LR_FMF_2013_775179-2948383.pdf","https://www.mouser.com/ProductDetail/YAGEO/FMF1WSFTE52-1M?qs=xZ%2FP%252Ba9zWqbFoR0nI%252B9JFQ%3D%3D"
"R14,R15","2","5.1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","https://www.mouser.com/ProductDetail/YAGEO/CFR25SJT-52A5K1?qs=sGAEpiMZZMsPqMdJzcrNwl6kmOwLxsHbG1xxxor8vA%2FahGwjqFJU1A%3D%3D"
"S1","1","EN","","","","TL3342F260QG:TL3342F260QG","https://configured-product-images.s3.amazonaws.com/2D/specs/TL3342F260QG.pdf","https://www.mouser.com/ProductDetail/E-Switch/TL3342F260QG?qs=6C6BR4UgC3Of90YOH%2FEXyw%3D%3D"
"S2","1","BOOT","","","","TL3342F260QG:TL3342F260QG","https://configured-product-images.s3.amazonaws.com/2D/specs/TL3342F260QG.pdf","https://www.mouser.com/ProductDetail/E-Switch/TL3342F260QG?qs=6C6BR4UgC3Of90YOH%2FEXyw%3D%3D"
"SW1","1","SW_SPST_LED","","","","Button_Switch_THT:BUTTON_LED","~",""
"TP1","1","CHG4","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP2","1","CHG5","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP3","1","CHG2","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP4","1","CHG1","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP5","1","CHG3","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP6","1","3.3REG3","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP7","1","3.3REG1","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
"TP9","1","TP_ESP32_IO0","","","","TestPoint:TestPoint_Pad_D3.0mm","~",""
