Ref,Val,Package,PosX,PosY,Rot,Side
"BATT1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",139.700000,-82.550000,180.000000,top
"C1","100uF","C_0805_2012Metric",162.560000,-99.380000,90.000000,top
"C2","4.7uF","C_0805_2012Metric",157.160000,-95.250000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",147.000000,-95.250000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",162.560000,-107.696000,0.000000,top
"R1","220k","R_0805_2012Metric",139.700000,-89.257500,90.000000,top
"R2","100k","R_0805_2012Metric",139.700000,-74.017500,90.000000,top
"R3","10k","R_0805_2012Metric",149.502500,-101.600000,0.000000,top
"R4","330","R_0805_2012Metric",162.560000,-94.337500,90.000000,top
"R5","10k","R_0805_2012Metric",155.852500,-101.600000,0.000000,top
"S1","TL3342F260QG","SW_TL3342F160QG",152.400000,-107.696000,0.000000,top
"SCL1","2.2k","R_0805_2012Metric",165.100000,-76.557500,90.000000,top
"SDA1","2.2k","R_0805_2012Metric",165.100000,-84.177500,90.000000,top
"U1","XIAO-ESP32-S3-SMD","XIAO-ESP32S3-DIP",152.400000,-80.772000,0.000000,top
"U2","VL53L1CXV0FY1","ST_VL53L1x",152.279000,-97.451600,0.000000,top
