Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,100uF,
C2,0805,1,4.7uF,
C3,0805,1,0.1uF,
C4,CP_EIA-2012-12_Kemet-R,1,1uF,
D1,SOT-323_SC-70,1,BAT54W,
D2,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,1,SK6812,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,BATT,
J2,SolderWirePad_1x01_SMD_1.5x3mm,1,BATT_CRG_GND,
J3,SolderWirePad_1x01_SMD_1.5x3mm,1,BATT_CRG_BATT,
J4,PinHeader_1x01_P1.00mm_Vertical,1,BATT_CRG_BATT,
J5,PinHeader_1x01_P1.00mm_Vertical,1,BATT_CRG_GND,
Q1,SOT-23,1,AO3407A,
R1,0805,1,220k,
"R2, R6, R7",0805,3,100k,
"R3, R5, R8",0805,3,10k,
R4,0805,1,330,
S2,TS1187ABAB,1,TS-1187A-B-A-B,
"SCL1, SDA1",0805,2,2.2k,
U1,XIAO-ESP32S3-DIP,1,XIAO-ESP32-S3-SMD,
U2,VL53L1CXV0FY1,1,VL53L1CXV0FY1,
U3,TSOT-23_TS8,1,LTC2954,
U4,SOT-23-5,1,74AHCT1G125,
