Designator,Mid X,Mid Y,Rotation,Layer
C1,165.0093,-89.9699,90.0,top
C2,164.0875,-99.9,0.0,top
C3,164.1875,-94.9,0.0,top
C4,147.2,-95.2875,270.0,top
D1,149.9,-102.5,0.0,top
D2,162.45,-108.2,180.0,top
J1,141.8,-99.5,0.0,top
Q1,154.9,-102.3,180.0,top
R1,139.8,-87.6875,90.0,top
R2,139.6,-81.5125,90.0,top
R3,159.5875,-94.9,0.0,top
R4,165.0,-85.4,90.0,top
R5,159.6875,-99.9,0.0,top
R6,140.0115,-104.21,0.0,top
R7,139.9125,-108.7,0.0,top
R8,144.7125,-104.2,0.0,top
S1,152.4,-108.236,0.0,top
SCL1,165.1,-76.5575,90.0,top
SDA1,165.1,-80.9,90.0,top
U1,152.4,-80.772,0.0,top
U2,152.279,-97.4516,0.0,top
U3,144.9,-108.7,180.0,top
