"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S1";"SW_TL3342F160QG";1;"TL3342F260QG";;;
2;"R4";"R_0805_2012Metric";1;"330";;;
3;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
4;"C1";"C_0805_2012Metric";1;"100uF";;;
5;"R3,R5";"R_0805_2012Metric";2;"10k";;;
6;"C3";"C_0805_2012Metric";1;"0.1uF";;;
7;"U2";"ST_VL53L1x";1;"VL53L1CXV0FY1";;;
8;"C2";"C_0805_2012Metric";1;"4.7uF";;;
9;"J1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02_Socket";;;
10;"R1";"R_0805_2012Metric";1;"220k";;;
11;"R2";"R_0805_2012Metric";1;"100k";;;
12;"SDA1,SCL1";"R_0805_2012Metric";2;"2.2k";;;
13;"U1";"XIAO-ESP32S3-DIP";1;"XIAO-ESP32-S3-SMD";;;
14;"BATT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
